 ,Estimates,Std.Error,Row,Letter,Full_Protein_Animal_Phylostratigraphy_Slope,Domain_Animal_Phylostratigraphy_Slope,Random_Peptide_Marginals_AA_Freq,Random_Peptide_AA_Std,Mean_RSA,Polarity.x,num_Codons,Random_Peptide_Marginals_Codons,Chronology,Amino_Acid,species_effect_vs_CAIS_slope_old,species_effect_vs_CAIS_std_old,PIC_of_species_effect_vs_CAIS_slope_ignorepls,PIC_species_effect_vs_CAIS_std_ignorepls,RaifordAerobicCost.x,TourasseChangeability.x,Hydrophobicity,Levy_Stickiness,N1redun,N2redun,N3redun,numcodons,GCvATn2redun,GCvATn1redun,PAM_sub,BLOSUM_sub,pair,MarginalEffect,Std.Err,Disorder_Propensity,X3.letter,SlopeAnimal..1496,StErrAnimal..1496,PvalueAnimal..1496,SlopePlant..1496,StErrPlant..1496,PvaluePlant..1496,SlopeAnimal..2101,StErrAnimal..2101,PvalueAnimal..2101,SlopePlant..2101,StErrPlant..2101,PvaluePlant..2101,Slope..2101,StErr..2101,Pvalue..2101,Nitrogen_rich,Essential,Essential_Costa2015,Mean.RSA,LevyStickiness,RandomPeptidesMarginals,Jordan.2005,Jordan_Chronology,Amino_Acid,TrifonovConsensusOrderOfRecruitment_2009,TrifonovConsensusOrderOfRecruitment_2004ties,TrifonovConsensusOrderOfRecruitment_2004,TrifonovConsensusOrderOfRecruitment_2000,TrifonovConsensusOrderOfRecruitment_2000ties,Average_rank_Trifonov2004,TrifonovRecalculated,X..Codons,Polarity.y,TourasseChangeability.y,TourasseChangeabilityNonTrans,TourasseChangeabilityTrans,RaifordAerobicCost.y,VolumeA3,MolecularWeightsDa,wtd_ENC_slope,wtd_ENC_std_error,wtd_CAIS_slope,wtd_CAIS_std_error,wtd_negfullENC_slope,wtd_negfullENC_std_error,D_primate,Error_primate,D_rodent,Error_rodent,model_2_Dflux_residuals,residual_error,residual_marginal_effect,HOMO_LUMO,Relative_aafreq_CM2meteorites,Relative_aafreq_CR2meteorites,CV3/CO3/CI1,CM2,CR2,AA_abundance_Murchison,Amino_Acid,Moosmann_category,,prebiotic_RelativeAbundance,electricdischarge_ReativeAbundance,Murchison_relative_D_abundance,Murchison_relative_L_abundance,avg_GRA_95229_hydroandunhydro,avg_LAP_02342_hydroandunhydro,QUE_99177,avg_EET_92042,avg_Shisr_033,all_CR2_average,log_CR2_avg,avg_all_hdyrothermal,avg_3avg_hydrothermal_experiments,Multi_Average rank_Trifonov2004,Single_Average rank_Trifonov2004,Average_rank_Trifonov2004with0.7ties,Raw_avg_2000,Raw_rank_2000,Filtered_avg_2000,Filtered_sd_2000,Filtered_rank_2000,GC_content,distanceofAARSfromprotozyme
A,0.061574506,0.014517758,1,A,-6.88E-07,2.73E-06,0.086,0.017,0.782,-0.06,4,0.083,2,Alanine,0.0294,0.01135,0.05291,0.01044,14.5,4.32,0,0.0062,0,0,4,4,second-position-GC,first-position-GC,2,4,none,0.03596913,0.010600477,0.45,Ala,-2.10E-06,1.77E-06,0.2361751,7.48E-06,8.08E-06,0.3557452,9.23E-06,1.56E-06,3.36E-09,8.67E-06,1.66E-06,1.85E-07,9.33E-06,1.42E-06,5.87E-11,1 Nitrogen atom,Non-essential,Non-essential,0.782,0.0062,0.039,0.0239,2,Alanine,2,2,2,2,1,4,2,4,-0.06,4.32,5.94,22.02,14.5,88.6,89,-0.0023799,0.0006599,0.02305,0.01169,0.000643,0.0001779,-0.021152443,0.027007306,-0.022306916,0.010587495,-0.027235946,0.012328399,0.02213213,11,0.91,0.95,1,1,1,45,Alanine,Membrane anchor ,,1000,1000,16,32,578.5,4739,7133,45519,816,14492.375,4.161139563,0.639555556,1.457166667,4.1,3.9,1,4.9,2,2.9,0.3,2,10,3
C,-0.001191586,0.004824591,2,C,1.76E-07,-2.41E-06,0.0013,0.022,0.899,1.36,2,-0.02,16,Cysteine,-0.001593,0.001707,0.0008278,0.0025017,26.5,1,NA,1.0372,0,0,2,2,second-position-GC,first-position-AT,12,9,none,-0.004194031,0.013542781,0,Cys,-1.88E-06,2.11E-06,0.3746901,-2.07E-05,8.89E-06,0.02100993,-5.92E-06,1.40E-06,2.51E-05,-6.56E-06,1.34E-06,1.08E-06,-5.93E-06,1.34E-06,1.09E-05,1 Nitrogen atom,Conditionally essential,Non-essential,0.899,1.0372,0.00098,-0.0067,16,Cysteine,17,16,16,15,15,13.8,15,2,1.36,1,2.09,4.73,26.5,108.5,121,0.0001918,0.0001012,-0.0007912,0.0017535,-0.0003239,2.63E-05,0.155778894,0.050125471,0.092482423,0.023255814,-0.030429019,0.026735869,0.006215969,9.5,NA,NA,0,0,0,NA,Cysteine,Metal binding ,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,13.9,14,12.4,15,14.3,0.6,15,3,4
D,0.009109333,0.007548097,3,D,1.75E-06,1.36E-06,0.039,0.026,0.634,-0.8,2,0.094,3,Aspartic Acid,0.017963,0.004717,-0.010183,0.004961,15.5,3.44,-1,-0.7485,0,0,2,2,second-position-AT,first-position-GC,4,6,D-E,0.018869565,0.01721113,0.407,Asp,2.54E-06,1.42E-06,0.07377422,-7.41E-06,3.83E-06,0.05472696,1.72E-07,1.12E-06,0.8775773,-3.97E-07,1.11E-06,0.7211368,2.87E-08,1.06E-06,0.978363,1 Nitrogen atom,Non-essential,Non-essential,0.634,-0.7485,0.024,0.0039,3,Aspartic Acid,3,3,3,3,3,6,3,2,-0.8,3.44,5.25,9.54,15.5,111.1,133,-0.0007318,0.0002994,0.021329,0.004852,0.0007599,7.85E-05,-0.084087969,0.0359675,0.042467779,0.014535559,0.061613515,0.016891444,0.013117065,11,0.7,0.43,1,1,1,9,Aspartic Acid,Membrane anchor ,,34,29,8.4,29,3.5,146.75,1082,932.5,323.5,541.1875,2.733347757,83.78341667,56.0405,4.2,7.7,3,7.2,4,7,0.7,4,3,6
E,-0.056190679,0.009056956,4,E,-1.50E-06,-3.85E-06,-0.0034,0.024,0.589,-0.77,2,-0.044,7,Glutamic Acid,-0.040836,0.004583,-0.024497,0.005784,9.5,3.26,-1,-0.7893,0,0,2,2,second-position-AT,first-position-GC,4,5,D-E,-0.014983854,0.016332653,0.781,Glu,9.95E-06,2.19E-06,5.82E-06,-5.11E-06,6.77E-06,0.4514546,-2.46E-06,1.29E-06,0.05658818,-5.25E-07,1.42E-06,0.7111336,-1.93E-06,1.26E-06,0.1261407,1 Nitrogen atom,Non-essential,Non-essential,0.589,-0.7893,-0.0099,0.0137,7,Glutamic Acid,7,7,7,7,7,8.1,6,2,-0.77,3.26,4.94,9.89,9.5,138.4,147,0.0020417,0.0003137,-0.04342,0.004782,-0.001111,9.38E-05,-0.163498099,0.027576372,-0.128699243,0.013117081,-0.036329521,0.015046055,-0.028613354,11,0.82,0.77,1,1,1,28,Glutamic Acid,Halophilic folding ,,NA,NA,8.8,34,127.5,1487.5,6959,6928,732,3875.5,3.588327741,0.143428571,0.140888889,6.3,9.9,5,8.2,6,7.2,0.6,5,3,4
F,-0.023064626,0.00772071,5,F,1.51E-06,2.95E-06,-0.082,0.022,0.864,1.27,2,-0.069,17,Phenalalanine,-0.007342,0.001959,-0.01416,0.00378,61,1.71,1,1.2727,0,0,0,2,second-position-AT,first-position-AT,9,6,F-Y,-0.03414168,0.01528529,0.117,Phe,2.35E-06,1.35E-06,0.08084958,1.92E-06,4.03E-06,0.6346678,-5.39E-06,1.04E-06,2.57E-07,-5.19E-06,1.08E-06,1.60E-06,-5.77E-06,1.02E-06,1.63E-08,1 Nitrogen atom,Essential,Essential,0.864,1.2727,-0.031,-0.0042,17,Phenalalanine,16,17,17,17,17,14.2,16,2,1.27,1.71,2.41,9.31,61,189.9,165,0.0002504,0.0001252,-0.008056,0.002041,0.0007131,3.26E-05,0.107758621,0.046423835,0.02788536,0.019679854,-0.05733892,0.022791447,-0.00579518,10,0.62,0.53,0,1,1,2,Phenalalanine,Metal binding ,,29,13,NA,NA,16.5,85,NA,NA,NA,50.75,1.705436047,NA,NA,15.1,13.2,14,13,16,15.1,0.4,17,1,3
G,0.096847208,0.011143487,6,G,1.38E-06,5.45E-06,0.044,0.015,0.731,-0.41,4,0.053,1,Glycine,0.032299,0.005891,0.02481,0.007233,14.5,2.94,0,-0.1771,0,0,4,4,second-position-GC,first-position-GC,5,6,none,0.018128063,0.008914645,0.437,Gly,-1.18E-05,2.03E-06,7.04E-09,5.35E-07,5.96E-06,0.9286133,9.01E-06,1.55E-06,7.01E-09,7.99E-06,1.58E-06,4.36E-07,8.71E-06,1.51E-06,8.57E-09,1 Nitrogen atom,Conditionally essential,Non-essential,0.731,-0.1771,0.021,0.0063,1,Glycine,1,1,1,1,1,3.5,1,4,-0.41,2.94,4.74,9.07,14.5,60.1,75,-0.0021247,0.0003282,0.029394,0.005944,0.002525,9.80E-05,-0.05513308,0.030831321,-0.010509297,0.012715404,0.001486905,0.014755386,-0.003149437,11,1,1,1,1,1,100,Glycine,Membrane anchor ,,2273,26475,100,100,630.5,6874,14134,25925,482.5,11890.875,4.075213814,40.60727273,49.32364444,4.2,2.8,1,4.4,1,2.9,0.3,1,10,5
H,0.010394595,0.003045766,7,H,1.83E-07,2.87E-07,-0.054,0.028,0.731,0.49,2,-0.059,14,Histidine,0.011504,0.002391,0.005888,0.002665,29,4.22,-1,0.1204,0,0,2,2,second-position-AT,first-position-GC,6,8,H-Q,-0.031491091,0.017826909,0.259,His,-4.20E-07,9.72E-07,0.6660983,-2.41E-06,3.04E-06,0.4298926,-1.70E-06,7.15E-07,0.01740469,-1.49E-06,7.57E-07,0.0489517,-1.73E-06,6.85E-07,0.01185594,Nitrogen rich,Essential,Essential,0.731,0.1204,-0.028,-0.0073,14,Histidine,15,14,14,16,16,13,17,2,0.49,4.22,7.63,7.69,29,153.2,155,-0.000781,0.0001335,0.010515,0.002405,0.001198,3.89E-05,0.15483871,0.040160966,0.07071923,0.017347417,-0.04798139,0.020061571,-0.019313591,10,NA,NA,0,0,0,NA,Histidine,Metal binding ,,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,12.7,14,13.3,17,14.9,0.5,16,3,4
I,-0.101535933,0.010759563,8,I,3.38E-06,5.10E-06,-0.14,0.026,0.875,1.31,3,-0.16,11,Isoleucine,-0.083034,0.007031,-0.05489,0.0093,38,3.95,1,1.1109,0,0,3,3,second-position-AT,first-position-AT,5,4,I-V,-0.071504019,0.016452096,0.09,Ile,6.92E-06,1.40E-06,7.71E-07,-2.98E-07,4.08E-06,0.9419102,4.17E-06,1.05E-06,7.16E-05,3.78E-06,1.06E-06,0.000395926,3.87E-06,9.51E-07,4.85E-05,1 Nitrogen atom,Essential,Essential,0.875,1.1109,-0.069,-0.0089,11,Isoleucine,11,12,12,14,14,11.4,12,3,1.31,3.95,6.07,24.77,38,166.7,131,0.0049204,0.0003915,-0.081427,0.006957,-0.0029236,0.0001542,0.067121729,0.033729163,-0.036356959,0.013550683,-0.088066036,0.015753272,-0.048533019,11,0.71,0.65,0,1,1,5,Isoleucine,Halophilic folding ,,14,22,7.7,27,9,233.5,NA,NA,NA,121.25,2.083681747,0.062833333,0.073666667,11.9,10.9,10,11.2,10,13,0.5,14,1,7
K,-0.134890916,0.010085081,9,K,1.06E-07,-1.75E-06,-0.066,0.03,0.554,-1.18,2,-0.014,15,Lysine,-0.080774,0.009165,-0.07833,0.01087,36,3.03,-1,-1.1806,0,0,2,2,second-position-AT,first-position-AT,5,5,R-K,-0.018064237,0.020616618,0.588,Lys,8.26E-06,2.07E-06,6.63E-05,5.82E-06,6.63E-06,0.3807064,-1.68E-06,1.46E-06,0.2498303,-7.03E-07,1.50E-06,0.6397353,-1.61E-06,1.36E-06,0.2353098,Nitrogen rich,Essential,Essential,0.554,-1.1806,-0.015,0.0065,15,Lysine,14,15,15,12,12,13.3,11,2,-1.18,3.03,4.27,12.32,36,168.3,146,0.0049596,0.0004887,-0.075995,0.009043,-0.004196,0.000172,-0.055888224,0.031591201,-0.213328076,0.014041399,-0.166548776,0.016201456,-0.015312237,10.5,0.78,0,0,1,0,NA,Lysine,Mesophilic folding ,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,0.247,13.4,13.2,14,12,13,12.3,0.5,12,1,5
L,0.020713741,0.013309254,10,L,-7.14E-07,1.41E-06,-0.02,0.015,0.853,1.21,6,-0.047,8,Leucine,0.02764,0.00818,0.039639,0.007815,37,2.25,1,0.9138,2,0,4,6,second-position-AT,NOPE,6,4,L-M,-0.017150723,0.00947587,0.195,Leu,1.36E-05,2.28E-06,2.82E-09,2.79E-06,7.28E-06,0.7023908,6.12E-07,1.61E-06,0.7043893,-4.77E-07,1.66E-06,0.7741583,8.91E-07,1.58E-06,0.5734422,1 Nitrogen atom,Essential,Essential,0.853,0.9138,-0.011,0.0017,8,Leucine,8,8.5,9,8,7,9.9,8,6,1.21,2.25,4.11,14.78,37,166.7,131,-0.0020185,0.0004585,0.023099,0.008184,0.0009155,0.0001267,-0.041778976,0.025958707,-0.037109649,0.011833698,-0.028043674,0.013625306,0.001462777,11,0.7,0.61,0,1,1,5,Leucine,Halophilic folding ,,22,4,2.6,30,22,261,NA,NA,199,141.5,2.15075644,250.50725,250.50725,9.5,10.3,8,9.4,8,9.5,0.7,8,6,8
